x_value,total_1,total_2
0,1000,1000
1,1002,1002
2,1009,1008
3,1005,1005
4,1011,1010
5,1010,1013
6,1010,1008
7,1015,1013
8,1022,1011
9,1026,1014
10,1023,1012
11,1021,1016
12,1027,1017
13,1026,1022
14,1025,1027
15,1026,1030
16,1021,1035
17,1024,1039
18,1026,1038
19,1023,1039
20,1019,1034
21,1021,1029
22,1021,1030
23,1026,1035
24,1031,1033
25,1027,1038
26,1031,1039
27,1037,1040
28,1032,1042
29,1026,1040
30,1027,1041
31,1029,1043
32,1024,1049
33,1021,1047
34,1024,1050
35,1029,1055
36,1037,1057
37,1034,1062
38,1037,1065
39,1043,1060
40,1042,1060
41,1047,1066
42,1046,1068
43,1054,1070
44,1062,1075
45,1064,1075
46,1064,1071
47,1059,1074
48,1067,1074
49,1072,1077
50,1075,1080
51,1071,1085
52,1070,1087
53,1073,1091
54,1081,1097
55,1082,1092
56,1088,1097
57,1084,1093
58,1087,1097
59,1091,1094
60,1088,1097
61,1083,1098
62,1078,1102
63,1073,1099
64,1074,1097
65,1074,1098
66,1078,1098
67,1073,1103
68,1068,1099
69,1068,1099
70,1064,1103
71,1068,1099
72,1068,1100
73,1070,1103
74,1072,1109
75,1076,1108
